,0
0,20.0
1,15.0
2,21.0
3,16.0
4,11.0
5,15.0
6,18.0
7,26.0
8,24.0
9,23.0
10,35.0
11,90.0
12,33.0
13,39.0
14,45.0
15,25.0
16,40.0
17,91.0
18,58.0
19,33.0
20,97.0
21,91.0
22,14.0
23,119.0
24,47.0
25,80.0
26,36.0
27,52.0
28,32.0
29,50.0
30,172.0
31,185.0
32,124.0
33,173.0
34,102.0
35,41.0
36,200.0
37,134.0
38,134.0
39,200.0
40,138.0
41,83.0
42,41.0
43,92.0
44,120.0
45,180.0
46,88.0
47,82.0
48,168.0
49,68.0
50,200.0
51,88.0
52,68.0
53,147.0
54,66.0
55,143.0
56,71.0
57,128.0
58,57.0
59,136.0
60,107.0
61,142.0
62,176.0
63,116.0
64,15.0
65,143.0
66,176.0
67,113.0
68,199.0
69,200.0
70,163.0
71,197.0
72,200.0
73,200.0
74,200.0
75,200.0
76,200.0
77,200.0
78,200.0
79,200.0
80,178.0
81,200.0
82,200.0
83,200.0
84,200.0
85,200.0
86,200.0
87,200.0
88,200.0
89,200.0
90,200.0
91,200.0
92,200.0
93,169.0
94,200.0
95,200.0
96,200.0
97,200.0
98,200.0
99,200.0
100,200.0
101,200.0
102,200.0
103,40.0
104,200.0
105,200.0
106,200.0
107,86.0
108,200.0
109,145.0
110,200.0
111,179.0
112,200.0
113,200.0
114,200.0
115,148.0
116,200.0
117,200.0
118,200.0
119,200.0
120,200.0
121,200.0
122,200.0
123,200.0
124,200.0
125,200.0
126,200.0
127,200.0
128,200.0
129,200.0
130,200.0
131,200.0
132,73.0
133,200.0
134,200.0
135,200.0
136,200.0
137,200.0
138,200.0
139,107.0
140,200.0
141,200.0
142,32.0
143,115.0
144,159.0
145,130.0
146,112.0
147,125.0
148,120.0
149,130.0
150,116.0
151,119.0
152,123.0
153,115.0
154,128.0
155,126.0
156,140.0
157,166.0
158,139.0
159,200.0
160,136.0
161,154.0
162,173.0
163,141.0
164,198.0
165,200.0
166,200.0
167,119.0
168,55.0
169,189.0
170,193.0
171,200.0
172,200.0
173,200.0
174,159.0
175,200.0
176,200.0
177,200.0
178,200.0
179,200.0
180,200.0
181,200.0
182,200.0
183,200.0
184,108.0
185,200.0
186,200.0
187,154.0
188,200.0
189,200.0
190,200.0
191,197.0
192,200.0
193,200.0
194,200.0
195,152.0
196,200.0
197,200.0
198,200.0
199,200.0
200,200.0
201,200.0
202,200.0
203,200.0
204,200.0
205,200.0
206,200.0
207,200.0
208,200.0
209,200.0
210,200.0
211,200.0
212,200.0
213,200.0
214,200.0
215,200.0
216,200.0
217,198.0
218,200.0
219,200.0
220,200.0
221,200.0
222,200.0
223,200.0
224,200.0
225,200.0
226,200.0
227,200.0
228,200.0
229,200.0
230,200.0
231,200.0
232,98.0
233,200.0
234,198.0
235,200.0
236,200.0
237,200.0
238,200.0
239,200.0
240,200.0
241,200.0
242,200.0
243,200.0
244,200.0
245,200.0
246,200.0
247,200.0
248,200.0
249,200.0
250,200.0
251,200.0
252,200.0
253,200.0
254,200.0
255,200.0
256,200.0
257,200.0
258,200.0
259,200.0
260,200.0
261,200.0
262,200.0
263,200.0
264,200.0
265,200.0
266,200.0
267,200.0
268,200.0
269,200.0
270,200.0
271,200.0
272,200.0
273,200.0
274,200.0
275,200.0
276,200.0
277,200.0
278,200.0
279,200.0
280,200.0
281,200.0
282,200.0
283,200.0
284,200.0
285,200.0
286,200.0
287,200.0
288,200.0
289,200.0
290,200.0
291,200.0
292,200.0
293,200.0
294,200.0
295,200.0
296,200.0
297,200.0
298,63.0
299,200.0
300,200.0
